0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-1.42,-8.68,-1.61,-8.69,-1.87,-8.69
0.04,0.02,6.18,33.04,-6.22,-29.11
2.66,18.91,-1.53,-5.63,-1.13,-2.56
