angle of attack,drag coefficient
14.92682482,0.191818638
13.09755686,0.097884567
11.04877452,0.075937354
9.000003349,0.060574305
7.097560213,0.046089131
5.048777874,0.036432371
3.073170718,0.02984819
1.097563563,0.023702963
0.146341994,0.021947213
-0.951218777,0.022386151
-3.878047501,0.028092406
-6.95122101,0.039504967
-9.951219335,0.056623766
-12.80487846,0.085155144
-13.90243923,0.177333472
-14.85365521,0.199280685
