x, y
15, 0.9250742405006649
14.201390457190154, 0.9362018789788751
13.263891491993043, 0.9362018789788751
12.326389877700539, 0.9250742405006649
11.319444876762098, 0.9065282471176646
10.416667604887955, 0.8768545445091036
9.548612026336777, 0.8508902669686633
8.680556447785598, 0.8100891381239428
7.812500869234427, 0.7655785842111016
6.840280210714344, 0.7062315327307309
5.937500289744808, 0.6543026946604498
4.791668515514491, 0.5838280047018689
3.7500018212530826, 0.5170624568220077
2.812500206960575, 0.4465876253687262
1.70139012605323, 0.3612760841058651
0.6250017384688498, 0.28338282700044304
-0.17361045343638537, 0.22032656269400253
-1.0416660319875621, 0.15727015689286095
-1.8402755747974062, 0.09421375109172003
-2.638887766702645, 0.031157345290578675
-3.3680539228665562, -0.035608485578683124
-4.166666114771793, -0.09866460839042346
-5.000000000000002, -0.15801173061814433
-5.868055578551175, -0.22477727849800555
-6.701386814683991, -0.2915429678725674
-7.569443717782861, -0.3583085157524283
-8.472220989657004, -0.4250743466216904
-9.305554874885212, -0.49183961151215005
-9.930554626532519, -0.5437684495824315
-10.451387973663223, -0.5623144429654319
-11.07638772531053, -0.5400593075037116
-11.493054667924634, -0.5103856048951505
-12.048611032926004, -0.38798235985568974
-12.91666661147718, -0.3842729347875685
-14.236110825965426, -0.38798235985568974
-15, -0.3916912189450087
-13.541666363124486, -0.38798235985568974
-12.499999668863076, -0.3805636512141486
