x, y
14.926824815922291, 12.66666703523647
13.097556863634658, 6.463768252152608
11.048774524079402, 5.014492809709898
9.000003349489667, 4
7.097560213124304, 3.04347732342028
5.048777873569048, 2.4057970133130153
3.0731707180915038, 1.971013274870789
1.097563562613967, 1.5652157087030663
0.14634199443128182, 1.4492754424427121
-0.9512187769412961, 1.4782605090078011
-3.8780475006015074, 1.8550707971916074
-6.9512210099344, 2.608694690687466
-9.951219335189574, 3.7391277666577207
-12.804878457254834, 5.623185841833244
-13.902439228627422, 11.710144911511456
-14.853655214327329, 13.159420353954166
