2.971	29.913	7.060	-0.292	-0.328	0.072	-2.857	-0.636	0.373	0.064	0.203	-3.503	-0.035	0.724	-0.532	-1.057	0.163	0.254	2.405	6.165	0.444
-0.856	-11.602	-2.972	0.112	0.115	-0.028	1.362	0.262	-0.178	-0.022	-0.442	1.513	0.069	-0.306	0.599	0.474	-0.159	-0.117	-0.865	-2.599	-0.290
-0.026	-0.253	0.940	-0.014	-0.003	-0.004	-0.221	0.013	0.029	0.003	0.119	0.040	-0.017	-0.007	-0.145	0.009	0.036	-0.002	0.101	-0.053	0.058
0.288	-0.278	-0.030	0.543	-0.064	-0.007	-2.220	0.072	0.196	0.055	3.549	0.218	-0.544	-0.026	-5.334	-0.016	1.304	-0.004	-2.115	-0.056	1.389
0.078	3.046	0.344	0.056	0.495	0.051	0.727	-0.091	-0.128	-0.016	0.046	-0.446	-0.050	0.168	-1.049	-0.159	0.257	0.031	-1.558	0.615	0.106
-0.507	-3.898	-0.619	0.068	-0.011	0.510	0.991	0.071	-0.169	-0.020	0.022	0.392	0.002	-0.066	-1.188	0.116	0.235	0.050	-1.921	-0.794	0.095
-0.032	1.069	0.226	-1.208	-0.602	-0.864	-2.838	0.053	0.486	0.307	-4.468	-0.199	0.704	0.162	4.863	0.115	-1.211	0.183	7.768	0.219	-0.491
0.900	3.777	1.068	2.996	0.388	1.412	26.866	-0.292	-3.489	-0.589	-2.546	-0.196	0.171	0.120	5.260	-0.181	-1.383	-0.177	-22.427	0.795	-4.234
0.014	-0.238	-0.049	0.303	0.132	0.195	0.568	-0.007	0.926	-0.065	1.395	0.052	-0.219	-0.036	-1.549	-0.033	0.384	-0.039	-1.824	-0.049	0.243
0.517	-2.547	-0.498	3.168	0.123	0.493	-22.129	0.518	3.040	-0.245	34.580	1.040	-5.381	-0.170	-40.499	-0.620	9.928	0.040	-10.886	-0.526	11.198
0.002	0.129	0.027	-0.080	-0.034	-0.055	0.405	0.001	-0.055	0.020	0.009	-0.021	0.153	0.013	1.097	0.006	-0.271	0.012	0.490	0.027	-0.283
-3.156	-46.625	-11.167	0.127	0.771	-0.514	12.243	0.981	-1.603	-0.021	-13.819	6.142	2.216	-1.242	14.983	2.207	-3.735	-0.449	0.046	-9.613	-4.851
0.026	0.286	0.061	0.090	0.076	0.067	0.359	-0.018	-0.047	-0.021	0.351	-0.031	0.942	0.001	-0.386	-0.020	0.095	-0.010	-0.670	0.059	0.031
2.666	38.968	8.441	0.933	2.331	0.484	12.182	-1.225	-1.667	-0.160	-0.624	-4.921	0.223	1.026	0.469	-1.499	-0.173	0.370	-11.706	8.012	-1.767
0.017	-0.921	-0.195	0.926	0.459	0.668	1.934	-0.040	-0.241	-0.234	4.543	0.165	-0.712	-0.125	-3.978	-0.084	1.235	-0.140	-5.970	-0.189	0.772
-1.907	-27.756	-6.363	0.743	0.640	1.315	-15.399	0.771	1.953	-0.158	32.714	3.789	-5.136	-0.759	-34.828	0.504	8.568	-0.272	-13.077	-5.718	9.629
-0.039	-0.329	-0.072	-0.135	-0.071	-0.063	0.026	0.010	-0.007	0.036	-0.883	0.029	0.137	0.010	0.969	0.032	0.757	0.019	0.763	-0.068	-0.205
-2.147	-27.504	-5.785	0.798	-0.314	2.260	19.403	0.261	-2.608	-0.127	-11.529	3.115	1.676	-0.415	12.117	1.175	-2.834	-0.222	-9.428	-5.646	-5.179
-0.034	1.096	0.231	-1.244	-0.617	-0.886	-2.102	0.054	0.217	0.314	-5.132	-0.206	0.806	0.166	4.775	0.119	-1.201	0.188	6.982	0.225	-0.728
0.001	0.009	0.002	0.000	0.001	-0.001	-0.001	0.000	0.000	0.000	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.989	0.000
0.002	-0.048	-0.010	0.068	0.033	0.046	0.146	-0.004	-0.018	-0.017	0.298	0.010	-0.047	-0.009	-0.330	-0.008	0.082	-0.009	-0.413	-0.010	1.036
