-3.422	-190.772	51.116
1.210	70.437	-14.643
-0.133	-1.688	1.323
2.205	-17.651	-175.005
-0.303	-99.419	3.336
0.494	113.377	31.418
3.325	11.375	-99.327
-20.196	-221.023	155.976
-0.294	-0.783	11.065
16.501	82.172	-771.739
-0.262	-0.903	6.835
21.891	234.872	-666.742
0.175	0.315	-0.525
4.966	-284.740	49.375
1.943	7.019	-58.571
-8.182	312.078	333.033
-0.284	0.931	13.730
12.697	468.167	-60.879
-1.500	-10.530	93.428
-0.001	-0.341	-0.070
0.081	0.173	-3.697
0.184	-1.473	-14.606
-0.025	-8.298	0.278
0.041	9.463	2.622
