2.897	-1.371	1.497	8.339	-4.988	-0.791	7.382	30.890	18.863	16.573	11.395	0.774	24.472	6.310	-10.028	0.569	-0.440	0.079	0.285	10.568	0.011	-1.112	0.253	10.253
0.247	0.879	2.529	14.018	-8.420	-1.423	0.737	-1.866	0.359	7.379	14.368	1.187	35.760	9.558	-15.493	-0.809	-0.643	0.283	0.311	7.875	-0.109	-10.615	0.751	15.305
0.515	0.509	6.448	-9.303	5.353	0.924	2.029	4.282	1.288	8.328	13.048	-0.879	34.376	8.244	-15.429	-0.439	0.962	-0.178	0.613	6.007	-0.131	-0.300	-0.493	-14.397
-0.370	0.201	0.684	-5.221	3.687	0.716	-0.916	-3.818	-2.989	-2.188	-1.475	-0.687	-2.546	-1.119	0.825	-0.035	0.297	-0.104	0.114	-1.669	-0.209	2.064	-0.526	-8.054
0.445	-0.226	-0.686	7.156	-3.245	-0.825	1.117	4.558	3.533	2.755	2.033	0.793	3.780	1.505	-1.322	0.030	-0.331	0.119	-0.121	2.101	0.243	-2.460	0.609	9.209
-0.584	0.370	0.289	-1.130	1.843	0.327	-1.535	-6.681	-3.936	-2.320	-0.892	-0.140	-1.049	-0.231	0.268	-0.166	0.205	0.021	-0.088	-1.606	-0.024	-0.217	-0.017	-2.796
2.158	-1.920	-2.520	1.104	-0.552	-0.042	9.562	42.253	24.842	12.171	-3.498	0.230	-14.816	-3.888	7.411	1.740	-0.323	-0.098	-0.162	4.365	0.175	9.023	-0.159	4.385
-0.502	0.353	0.258	-0.722	0.736	-0.010	-2.527	-10.485	-6.305	-3.960	-0.259	-0.068	0.412	0.154	-0.395	-0.409	0.022	0.042	-0.027	-1.911	-0.141	-1.669	0.130	-1.748
-0.220	0.407	1.130	0.311	-0.830	0.045	0.158	-1.268	-0.510	1.241	3.376	-0.110	8.674	2.157	-3.900	-0.143	0.066	0.059	0.131	1.490	-0.101	-1.764	0.101	0.223
-0.243	0.047	-0.703	0.625	-0.282	-0.021	-0.920	-3.068	-1.770	-1.231	-2.520	0.155	-4.847	-1.174	2.076	-0.121	0.055	-0.094	-0.036	-1.391	0.319	-0.106	-0.289	0.987
-1.860	1.362	0.498	0.160	0.013	0.025	-7.319	-33.506	-19.686	-11.991	-1.141	0.129	1.689	0.602	-1.451	-1.402	0.370	-0.138	0.066	-5.324	0.538	-6.151	-0.519	-1.489
0.121	0.114	0.573	1.122	-1.908	-0.156	-0.124	-0.683	-0.395	1.520	2.511	0.335	6.616	1.657	-2.945	-0.110	-0.069	0.043	0.113	1.454	-0.058	-1.838	0.100	2.064
0.833	-0.639	-0.823	2.591	-1.720	-0.277	3.166	14.616	8.915	5.069	0.481	0.210	-1.119	-0.354	1.372	0.608	-0.377	0.109	-0.105	2.329	-0.082	1.804	0.442	4.348
-1.301	0.064	-2.100	-12.948	8.794	1.298	-3.781	-12.246	-8.631	-12.212	-14.371	-1.266	-34.217	-9.059	14.223	0.381	0.821	-0.235	-0.174	-9.575	-0.756	7.743	-1.263	-15.721
-0.177	-0.052	-0.352	-3.181	2.169	0.344	-0.413	-0.636	-0.761	-1.867	-3.000	-0.269	-6.819	-2.071	3.828	0.104	0.245	-0.097	-0.001	-1.692	-0.048	2.110	-0.442	-3.887
0.755	-0.620	-0.383	-1.017	0.667	0.121	3.114	14.986	8.639	4.728	-0.427	-0.060	-3.094	-0.915	1.663	1.576	-0.199	-0.038	0.000	1.817	0.025	3.463	-0.123	-0.477
-0.137	0.569	3.056	-3.652	2.049	0.207	-0.529	-4.943	-3.630	2.054	6.838	-0.186	18.997	4.755	-8.380	-0.660	0.279	0.079	0.343	2.314	0.225	-2.053	-0.194	-6.370
-0.275	0.715	3.454	-4.087	2.651	0.752	0.003	-3.830	-2.206	2.949	7.545	-0.615	20.745	5.171	-9.164	-0.563	-0.224	0.689	0.354	2.779	0.226	-1.746	-0.224	-7.353
-0.331	0.227	0.251	-1.458	0.935	0.157	-1.164	-5.332	-3.286	-2.066	-0.511	-0.153	-0.342	-0.180	-0.005	-0.178	0.082	-0.021	1.023	-1.086	-0.038	-0.309	-0.137	-2.172
0.089	-0.038	-0.006	0.907	-0.489	-0.118	0.256	1.011	0.714	0.650	0.542	0.117	1.139	0.372	-0.446	0.006	-0.040	0.017	-0.012	1.434	0.038	-0.307	0.094	1.090
-0.014	0.124	0.410	0.443	-0.769	0.111	-0.082	-0.736	-0.248	0.779	1.422	0.587	3.826	0.957	-1.720	-0.062	0.002	0.026	0.057	0.739	0.568	-0.960	0.046	0.710
-0.137	0.051	-0.020	-1.581	0.758	0.219	-0.375	-1.405	-1.046	-1.038	-0.983	-0.216	-2.130	-0.697	0.843	0.007	0.069	-0.031	0.024	-0.730	-0.074	1.575	-0.176	-1.786
0.262	-0.098	0.142	0.697	-1.138	-0.536	1.018	3.739	2.605	1.874	1.325	0.096	2.749	0.666	-1.121	0.086	-0.074	0.002	0.076	1.349	0.004	-0.185	0.619	1.539
0.426	-0.161	0.066	4.835	-2.315	-0.689	1.183	4.444	3.298	3.235	3.033	0.664	6.549	2.141	-2.592	-0.018	-0.213	0.095	-0.072	2.265	0.225	-1.773	0.530	6.450
